cycle,stability,aeonic_integrity,shell_charge,boundary_fit,pulse_lock,id_continuity,light,dark,truth,min_shell,med_shell,high_shell,noise,pressure,resonance,rupture
1,0.56525,0.48978,0.62655,0.4753,0.67253,0.9993,0.24474,0,0.24474,0.37708,0.51783,0.43767,0.05,1.018,0.58,True
2,0.57685,0.50208,0.6138,0.47186,0.75437,0.999,0.28501,0,0.28501,0.41434,0.53302,0.44717,0.05,1.036,0.58,False
3,0.5711,0.49267,0.60079,0.47321,0.77252,0.99982,0.27035,0,0.27035,0.40943,0.52199,0.43846,0.05,1.054,0.58,True
4,0.55783,0.47553,0.58725,0.48766,0.86388,0.99937,0.22011,0,0.22011,0.4002,0.49345,0.42122,0.05,1.072,0.58,True
5,0.55127,0.4657,0.57348,0.49607,0.9331,0.99951,0.19591,0,0.19591,0.40064,0.47745,0.41124,0.05,1.09,0.58,True
6,0.552,0.46461,0.55981,0.49553,0.98883,0.9999,0.20152,0,0.20152,0.4138,0.47585,0.40897,0.05,1.108,0.58,True
7,0.56804,0.48087,0.547,0.48006,0.9846,0.99985,0.2688,0,0.2688,0.44835,0.50403,0.42409,0.05,1.126,0.58,True
8,0.57053,0.47997,0.53443,0.47438,0.93241,0.99892,0.28968,0,0.28968,0.4497,0.50985,0.42591,0.05,1.144,0.58,True
9,0.58278,0.49011,0.52262,0.46363,0.86752,0.99857,0.34437,0,0.34437,0.46716,0.53225,0.43839,0.05,1.162,0.58,True
10,0.57565,0.47781,0.51047,0.46055,0.80541,0.99912,0.33264,0,0.33264,0.44844,0.52284,0.42948,0.05,1.18,0.58,True
